Created Date,Id,Accept Time,Agent Type,Agent Message Count,Case Id,Channel Name,Status
2024-11-04T10:49:18.000+0000,0MwJ7000000x0kZKAQ,2024-11-05T16:21:30.000+0000,Agent,5,500J7000005fngbIAA,Inbound Messaging,Ended
2024-11-04T10:50:26.000+0000,0MwJ7000000x0kdKAA,2024-11-06T11:00:24.000+0000,Agent,5,500J7000005fnhFIAQ,Inbound Messaging,Ended
2024-11-04T10:50:57.000+0000,0MwJ7000000x0kiKAA,2024-11-04T10:50:58.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T10:51:05.000+0000,0MwJ7000000x0knKAA,2024-11-04T10:51:06.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T10:51:42.000+0000,0MwJ7000000x0ksKAA,2024-11-14T10:53:20.000+0000,Agent,12,500J7000005fnhtIAA,Inbound Messaging,Ended
2024-11-04T10:53:28.000+0000,0MwJ7000000x0kxKAA,2024-11-04T14:47:32.000+0000,Agent,3,500J7000005fnl2IAA,Inbound Messaging,Ended
2024-11-04T10:55:12.000+0000,0MwJ7000000x0l2KAA,2024-11-05T09:47:18.000+0000,Agent,4,500J7000005fnjQIAQ,Inbound Messaging,Ended
2024-11-04T10:55:55.000+0000,0MwJ7000000x0l7KAA,2024-11-06T16:40:40.000+0000,Agent,5,500J7000005fnjBIAQ,Inbound Messaging,Ended
2024-11-04T10:56:23.000+0000,0MwJ7000000x0lCKAQ,2024-11-04T10:56:24.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T10:58:31.000+0000,0MwJ7000000x0lHKAQ,2024-11-07T07:13:20.000+0000,Agent,8,500J7000005fnpYIAQ,Inbound Messaging,Ended
2024-11-04T10:58:59.000+0000,0MwJ7000000x0lMKAQ,2024-11-04T14:46:18.000+0000,Agent,1,500J7000005fnknIAA,Inbound Messaging,Ended
2024-11-04T11:00:07.000+0000,0MwJ7000000x0lRKAQ,2024-11-06T10:14:16.000+0000,Agent,5,500J7000005fnksIAA,Inbound Messaging,Ended
2024-11-04T11:02:39.000+0000,0MwJ7000000x0lWKAQ,2024-11-07T13:09:04.000+0000,Agent,8,500J7000005fnllIAA,Inbound Messaging,Ended
2024-11-04T11:03:32.000+0000,0MwJ7000000x0lbKAA,2024-11-04T15:12:23.000+0000,Agent,6,500J7000005fnlvIAA,Inbound Messaging,Ended
2024-11-04T11:03:52.000+0000,0MwJ7000000x0lgKAA,2024-11-05T16:22:13.000+0000,Agent,4,500J7000005fnm0IAA,Inbound Messaging,Ended
2024-11-04T11:06:24.000+0000,0MwJ7000000x0llKAA,2024-11-05T10:04:53.000+0000,Agent,2,500J7000005fnmUIAQ,Inbound Messaging,Ended
2024-11-04T11:06:46.000+0000,0MwJ7000000x0lqKAA,2024-11-04T11:06:47.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T11:07:41.000+0000,0MwJ7000000x0lvKAA,2024-11-12T10:14:13.000+0000,Agent,29,500J7000005fpFwIAI,Inbound Messaging,Ended
2024-11-04T11:09:29.000+0000,0MwJ7000000x0m0KAA,2024-11-05T18:20:21.000+0000,Agent,3,500J7000005fnnXIAQ,Inbound Messaging,Ended
2024-11-04T11:09:38.000+0000,0MwJ7000000x0m5KAA,2024-11-04T11:09:40.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T11:10:02.000+0000,0MwJ7000000x0mAKAQ,2024-11-06T09:08:14.000+0000,Agent,2,500J7000005fnnrIAA,Inbound Messaging,Ended
2024-11-04T11:10:49.000+0000,0MwJ7000000x0mFKAQ,2024-11-04T11:10:50.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T11:11:22.000+0000,0MwJ7000000x0mKKAQ,2024-11-07T15:14:36.000+0000,Agent,11,500J7000005fnopIAA,Inbound Messaging,Ended
2024-11-04T11:11:38.000+0000,0MwJ7000000x0mPKAQ,2024-11-04T15:23:38.000+0000,Agent,1,500J7000005fnokIAA,Inbound Messaging,Ended
2024-11-04T11:11:54.000+0000,0MwJ7000000x0mUKAQ,2024-11-05T11:13:43.000+0000,Agent,15,500J7000005fnozIAA,Inbound Messaging,Ended
2024-11-04T11:12:09.000+0000,0MwJ7000000x0mZKAQ,2024-11-06T11:09:02.000+0000,Agent,4,500J7000005fnp4IAA,Inbound Messaging,Ended
2024-11-04T11:13:51.000+0000,0MwJ7000000x0meKAA,2024-11-04T11:13:52.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T11:15:10.000+0000,0MwJ7000000x0mjKAA,2024-11-08T11:32:32.000+0000,Agent,12,500J7000005fnq2IAA,Inbound Messaging,Ended
2024-11-04T11:16:13.000+0000,0MwJ7000000x0moKAA,2024-11-04T11:16:14.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T11:16:14.000+0000,0MwJ7000000x0mtKAA,2024-11-04T11:16:15.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T11:16:36.000+0000,0MwJ7000000x0myKAA,2024-11-04T11:16:37.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T11:21:16.000+0000,0MwJ7000000x0mzKAA,2024-11-06T11:48:51.000+0000,Agent,7,500J7000005fnz4IAA,Inbound Messaging,Ended
2024-11-04T11:19:54.000+0000,0MwJ7000000x0n3KAA,2024-11-05T11:06:54.000+0000,Agent,10,500J7000005fnrjIAA,Inbound Messaging,Ended
2024-11-04T11:20:19.000+0000,0MwJ7000000x0n8KAA,2024-11-05T11:18:48.000+0000,Agent,0,500J7000005fnrZIAQ,Inbound Messaging,Ended
2024-11-04T11:20:39.000+0000,0MwJ7000000x0nDKAQ,2024-11-05T17:17:52.000+0000,Agent,3,500J7000005fnroIAA,Inbound Messaging,Ended
2024-11-04T11:23:30.000+0000,0MwJ7000000x0nIKAQ,2024-11-05T16:45:45.000+0000,Agent,4,500J7000005fnshIAA,Inbound Messaging,Ended
2024-11-04T11:24:08.000+0000,0MwJ7000000x0nNKAQ,2024-11-05T11:21:27.000+0000,Agent,2,500J7000005fntGIAQ,Inbound Messaging,Ended
2024-11-04T11:24:35.000+0000,0MwJ7000000x0nSKAQ,2024-11-05T11:34:17.000+0000,Agent,2,500J7000005fnwyIAA,Inbound Messaging,Ended
2024-11-04T11:24:56.000+0000,0MwJ7000000x0nXKAQ,2024-11-04T11:24:57.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T11:26:58.000+0000,0MwJ7000000x0ncKAA,,System,0,,Inbound Messaging,Waiting
2024-11-04T11:27:18.000+0000,0MwJ7000000x0nhKAA,2024-11-04T16:24:57.000+0000,Agent,1,500J7000005fnu4IAA,Inbound Messaging,Ended
2024-11-04T11:27:35.000+0000,0MwJ7000000x0nmKAA,2024-11-07T12:11:39.000+0000,Agent,20,500J7000005fntzIAA,Inbound Messaging,Ended
2024-11-04T11:28:54.000+0000,0MwJ7000000x0nrKAA,2024-11-07T17:56:18.000+0000,Agent,6,500J7000005fnusIAA,Inbound Messaging,Ended
2024-11-04T11:29:37.000+0000,0MwJ7000000x0nwKAA,2024-11-11T13:15:00.000+0000,Agent,7,500J7000005fnv7IAA,Inbound Messaging,Ended
2024-11-04T11:33:00.000+0000,0MwJ7000000x0o1KAA,2024-11-04T11:33:01.000+0000,Bot,0,,Inbound Messaging,Ended
